cycle num,data_in,data_out
4  ,[0 1 2 3],[0 0 0 0]
5  ,[0 0 0 0],[0 1 2 3]
8  ,[4 5 6 7],[0 0 0 0]
9  ,[0 0 0 0],[4 5 6 7]
12  ,[8 9 10 11],[0 0 0 0]
13  ,[0 0 0 0],[8 9 10 11]
16  ,[12 13 14 15],[0 0 0 0]
17  ,[0 0 0 0],[12 13 14 15]
20  ,[16 17 18 19],[0 0 0 0]
21  ,[0 0 0 0],[16 17 18 19]
24  ,[20 21 22 23],[0 0 0 0]
25  ,[0 0 0 0],[20 21 22 23]
28  ,[24 25 26 27],[0 0 0 0]
29  ,[0 0 0 0],[24 25 26 27]
32  ,[28 29 30 31],[0 0 0 0]
33  ,[0 0 0 0],[28 29 30 31]
36  ,[32 33 34 35],[0 0 0 0]
37  ,[0 0 0 0],[32 33 34 35]
40  ,[36 37 38 39],[0 0 0 0]
41  ,[0 0 0 0],[36 37 38 39]
44  ,[40 41 42 43],[0 0 0 0]
45  ,[0 0 0 0],[40 41 42 43]
48  ,[44 45 46 47],[0 0 0 0]
49  ,[0 0 0 0],[44 45 46 47]
52  ,[48 49 50 51],[0 0 0 0]
53  ,[0 0 0 0],[48 49 50 51]
56  ,[52 53 54 55],[0 0 0 0]
57  ,[0 0 0 0],[52 53 54 55]
60  ,[56 57 58 59],[0 0 0 0]
61  ,[0 0 0 0],[56 57 58 59]
64  ,[60 61 62 63],[0 0 0 0]
65  ,[0 0 0 0],[60 61 62 63]
