cycle num,data_in,data_out
5  ,[0 1 2 3],[0]
6  ,[0 0 0 0],[0]
7  ,[0 0 0 0],[1]
8  ,[0 0 0 0],[2]
9  ,[0 0 0 0],[3]
9  ,[4 5 6 7],[0]
10  ,[0 0 0 0],[4]
11  ,[0 0 0 0],[5]
12  ,[0 0 0 0],[6]
13  ,[0 0 0 0],[7]
13  ,[8 9 10 11],[0]
14  ,[0 0 0 0],[8]
15  ,[0 0 0 0],[9]
16  ,[0 0 0 0],[10]
17  ,[0 0 0 0],[11]
17  ,[12 13 14 15],[0]
18  ,[0 0 0 0],[12]
19  ,[0 0 0 0],[13]
20  ,[0 0 0 0],[14]
21  ,[0 0 0 0],[15]
21  ,[16 17 18 19],[0]
22  ,[0 0 0 0],[16]
23  ,[0 0 0 0],[17]
24  ,[0 0 0 0],[18]
25  ,[0 0 0 0],[19]
25  ,[20 21 22 23],[0]
26  ,[0 0 0 0],[20]
27  ,[0 0 0 0],[21]
28  ,[0 0 0 0],[22]
29  ,[24 25 26 27],[23]
30  ,[0 0 0 0],[24]
31  ,[0 0 0 0],[25]
32  ,[0 0 0 0],[26]
33  ,[28 29 30 31],[27]
34  ,[0 0 0 0],[28]
35  ,[0 0 0 0],[29]
36  ,[0 0 0 0],[30]
37  ,[32 33 34 35],[31]
38  ,[0 0 0 0],[32]
39  ,[0 0 0 0],[33]
40  ,[0 0 0 0],[34]
41  ,[36 37 38 39],[35]
42  ,[0 0 0 0],[36]
43  ,[0 0 0 0],[37]
44  ,[0 0 0 0],[38]
45  ,[40 41 42 43],[39]
46  ,[0 0 0 0],[40]
47  ,[0 0 0 0],[41]
48  ,[0 0 0 0],[42]
49  ,[44 45 46 47],[43]
50  ,[0 0 0 0],[44]
51  ,[0 0 0 0],[45]
52  ,[0 0 0 0],[46]
53  ,[48 49 50 51],[47]
54  ,[0 0 0 0],[48]
55  ,[0 0 0 0],[49]
56  ,[0 0 0 0],[50]
57  ,[52 53 54 55],[51]
58  ,[0 0 0 0],[52]
59  ,[0 0 0 0],[53]
60  ,[0 0 0 0],[54]
61  ,[56 57 58 59],[55]
62  ,[0 0 0 0],[56]
63  ,[0 0 0 0],[57]
64  ,[0 0 0 0],[58]
65  ,[60 61 62 63],[59]
66  ,[0 0 0 0],[60]
67  ,[0 0 0 0],[61]
68  ,[0 0 0 0],[62]
69  ,[0 0 0 0],[63]
